FREQ,Frequency,ISSUER_RES,Issuer residence,ISSUER_NAT,Issuer nationality,ISSUER_BUS_IMM,Issuer sector - immediate borrower,ISSUER_BUS_ULT,Issuer sector - ultimate borrower,MARKET,Issue market,ISSUE_TYPE,Issue type,ISSUE_CUR_GROUP,Issue currency group,ISSUE_CUR,Issue currency,ISSUE_OR_MAT,Original maturity,ISSUE_RE_MAT,Remaining maturity,ISSUE_RATE,Rate type,ISSUE_RISK,Default risk (for future expansion),ISSUE_COL,Collateral type (for future expansion),MEASURE,Measure,COLLECTION,Collection Indicator,TIME_FORMAT,Time Format,Series,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,AED,UAE Dirham,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:AED:A:A:A:A:A:I,1716,1568,1614,1517,966,926,677,540,507,542,624,285,277,1087,1063,1608,2152,2098,2093,2538,2538,2538,2538
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,ARS,Argentine Peso,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:ARS:A:A:A:A:A:I,1110,1616,1612,2093,2097,1660,1217,1387,1328,1500,1151,968,726,621,479,427,325,324,330,305,304,210,169
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,ATS,Austrian Schilling,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:ATS:A:A:A:A:A:I,14,15,15,16,16,15,15,15,15,15,12,13,12,12,13,14,13,13,13,13,12,12,11
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,AUD,Australian Dollar,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:AUD:A:A:A:A:A:I,270005,271001,281978,285063,285404,272673,269114,257618,259623,257559,247028,258973,221123,252211,256212,278241,274639,271412,261332,269570,279708,256473,239382
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,BHD,Bahraini Dinar,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:BHD:A:A:A:A:A:I,,,,,,,,,,,,,239,239,239,239,239,239,239,239,239,239,239
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,BRL,Brazilian Real,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:BRL:A:A:A:A:A:I,34569,31128,30956,27571,26928,22710,22392,23958,24828,24717,21963,20022,15238,13888,13079,14093,14175,16293,18046,17232,22018,20240,20251
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,BYR,Belarusian Ruble,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:BYR:A:A:A:A:A:I,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,CAD,Canadian Dollar,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:CAD:A:A:A:A:A:I,130717,135289,140630,140219,140127,135174,141502,124259,127964,130387,134275,137363,120849,130131,132165,132586,140522,143736,142437,142900,150973,145776,134511
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,CHF,Swiss Franc,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:CHF:A:A:A:A:A:I,218563,224269,214915,209466,210899,202165,201188,191318,187549,191313,185064,189472,189757,196577,198852,203084,189764,195837,192889,198159,194459,188985,185002
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,CLP,Chilean Peso,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:CLP:A:A:A:A:A:I,1839,1862,1940,1823,1695,1578,1537,1449,1585,1568,1470,1412,1231,1289,465,527,512,531,2356,3476,3831,3255,3207
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,CNY,Renminbi,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:CNY:A:A:A:A:A:I,108344,102936,103057,102260,109046,106591,105451,108293,108409,106033,101168,98055,102463,105488,111474,112865,115736,119810,120159,123462,124150,140558,152144
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,COP,Colombian Peso,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:COP:A:A:A:A:A:I,5719,5666,5704,7314,7349,7136,7193,6772,7087,7202,7207,7829,6348,6912,6826,7740,6593,6544,6510,6225,6789,6357,5820
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,CZK,Czech Koruna,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:CZK:A:A:A:A:A:I,7405,8066,8295,8388,8319,7482,7250,7330,7302,7422,7190,7494,7021,7399,7993,8657,8436,8742,8735,9046,9229,8529,8513
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,DEM,Deutsche Mark,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:DEM:A:A:A:A:A:I,4397,4689,4886,4972,5113,4864,4856,4649,4614,4717,4554,4702,4568,4727,4977,5252,5042,4826,4727,4644,4544,4257,4001
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,DKK,Danish Krone,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:DKK:A:A:A:A:A:I,3969,3491,3582,3616,3661,3474,3527,3503,3442,3630,3816,4681,5356,5493,5747,6276,6002,6203,5892,5395,5625,5309,5064
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,EGP,Egyptian Pound,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:EGP:A:A:A:A:A:I,355,1099,1664,2326,2959,2578,1948,1737,2335,2501,2818,2783,2978,2471,3472,3370,3754,6248,7236,7099,6015,5260,4379
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,ESP,Spanish Peseta,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:ESP:A:A:A:A:A:I,620,662,685,621,638,519,516,510,501,507,485,501,488,499,522,547,522,422,342,266,261,244,229
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,EUR,Euro,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:EUR:A:A:A:A:A:I,7980458,8609706,8943696,9164583,9539543,9120963,9172613,9121067,9063933,9277210,9014576,9384237,9264970,9781304,10214170,10791665,10466779,10818691,10733752,10667543,10641833,10039297,9487177
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,FIM,Finnish Markka,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:FIM:A:A:A:A:A:I,171,182,189,192,197,186,185,183,180,182,174,179,175,179,187,196,187,190,185,181,177,166,156
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,FRF,French Franc,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:FRF:A:A:A:A:A:I,2417,2580,2670,2712,2786,2636,2353,2327,2283,2313,2213,2283,2227,2276,2380,2494,2383,2415,2353,2302,2256,1732,1626
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,GBP,Pound Sterling,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:GBP:A:A:A:A:A:I,1742950,1849459,1924677,1940900,2044958,1923879,1915308,1884325,1953225,1917858,1901596,2043829,1923273,1954531,2022476,2130239,2201456,2214128,2166419,2209278,2173357,2012366,1842602
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,HKD,Hong Kong Dollar,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:HKD:A:A:A:A:A:I,84809,87577,89854,89477,103080,111077,108548,108048,113837,115629,115920,112690,113804,116834,118552,120545,127544,120463,115565,117397,111096,111232,113370
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,HRK,Kuna,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:HRK:A:A:A:A:A:I,67,118,181,185,190,187,184,260,254,101,256,316,249,256,268,281,268,269,253,247,240,226,212
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,HUF,Forint,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:HUF:A:A:A:A:A:I,1230,1305,1329,1326,1306,1243,1264,1271,1241,1413,1314,1281,1161,1198,1085,1258,1229,1209,1147,1287,1274,1250,1695
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,IDR,Rupiah,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:IDR:A:A:A:A:A:I,12037,12971,12659,13132,11756,11965,11580,12436,14153,13948,13406,14516,12612,14476,13976,13980,13676,13297,13325,13177,12660,11660,11170
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,ILS,New shekel,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:ILS:A:A:A:A:A:I,942,1053,1039,821,753,723,585,567,592,602,457,464,424,436,442,474,449,470,470,479,250,232,307
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,INR,Indian Rupee,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:INR:A:A:A:A:A:I,13193,15657,16377,18475,20255,19806,18422,19156,19760,19010,17748,16891,15779,14663,14820,14139,14613,13993,13440,13011,11879,10485,9831
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,ISK,Icelandic krona,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:ISK:A:A:A:A:A:I,1955,2110,2068,1940,1844,1698,1627,1553,1418,1397,1406,1013,866,886,886,965,972,996,942,941,959,918,849
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,ITL,Italian Lira,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:ITL:A:A:A:A:A:I,10152,10280,10703,10998,9735,9117,8959,7730,7690,7879,7641,7923,7714,8000,8450,8961,8622,8820,8669,7956,7834,7356,6939
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,JPY,Yen,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:JPY:A:A:A:A:A:I,422351,419464,425478,425327,440523,422762,420539,443427,450388,458616,459443,450429,447797,448136,450891,448134,406787,410672,411195,400590,377302,338428,322814
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,KRW,Won,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:KRW:A:A:A:A:A:I,736,829,872,967,1245,1228,1251,1293,1386,1474,1277,1547,1375,1308,1371,1394,1256,1256,2423,2423,2378,2197,2036
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,LBP,Lebanese Pound,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:LBP:A:A:A:A:A:I,995,995,995,,,,,,,,,,,,,,,,,,,,
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,MXN,Mexican Peso,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:MXN:A:A:A:A:A:I,25965,27052,27754,25540,33052,30798,31696,29846,31628,31935,32610,38348,30053,31136,31943,36421,36631,38377,37010,37028,39197,38700,39120
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,MYR,Malaysian Ringgit,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:MYR:A:A:A:A:A:I,2334,2334,2175,2036,1856,1562,1532,1534,1554,1673,1653,1688,1537,1503,1485,1617,1591,1586,1888,1634,1464,1351,1284
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,NOK,Norwegian Krone,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:NOK:A:A:A:A:A:I,60403,58797,59351,58192,59689,58933,58913,56452,62317,66510,65405,73422,65838,73767,76111,83944,89811,93111,93172,91851,91303,78307,71568
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,NZD,New Zealand Dollar,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:NZD:A:A:A:A:A:I,46763,47738,44737,41732,41127,37548,37208,37249,34358,33355,30970,32146,26229,26771,28732,33574,30648,32490,34340,33749,35790,32891,30643
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,PHP,Philippine Peso,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:PHP:A:A:A:A:A:I,3276,3270,3489,3318,3171,3285,3354,3162,3419,3385,3411,3503,3610,3703,3740,3714,3410,3562,3560,3643,3660,3257,2996
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,PKR,Pakistan Rupee,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:PKR:A:A:A:A:A:I,,,5,10,10,9,10,9,9,14,20,109,623,282,169,134,71,92,91,88,117,103,86
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,PLN,Zloty,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:PLN:A:A:A:A:A:I,7298,8124,8002,9155,8471,8502,9543,8448,9324,10179,10186,11575,10747,11629,13365,15574,15576,15663,14689,14639,14848,13865,13473
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,PTE,Portuguese Escudo,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:PTE:A:A:A:A:A:I,67,72,8,8,8,7,7,7,7,7,7,7,7,7,8,8,8,8,7,7,7,7,6
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,RUB,Russian rouble,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:RUB:A:A:A:A:A:I,18540,17673,19662,19685,15489,14871,13666,12620,13275,13594,14112,15451,13214,14746,14752,16178,16937,17885,19003,18547,16143,24605,20574
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,SAR,Saudi Riyal,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:SAR:A:A:A:A:A:I,3602,3763,3799,3799,3799,3932,3599,3625,3525,3525,3525,3525,3965,4172,3639,3639,3637,4117,5350,5324,5324,9484,9644
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,SEK,Swedish Krona,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:SEK:A:A:A:A:A:I,91285,100030,102815,102961,102475,99151,101051,103808,107378,112186,108206,116732,108380,127648,137802,151749,143621,149745,141595,138612,135895,116855,106131
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,SGD,Singapore Dollar,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:SGD:A:A:A:A:A:I,40785,42948,42576,43039,43690,39596,39776,39080,39312,40684,39154,39760,38864,38823,40034,40249,39768,38277,38201,38016,36410,34820,35635
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,SKK,Slovak Koruna,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:SKK:A:A:A:A:A:I,760,808,836,825,677,611,606,600,573,580,555,589,572,587,614,585,559,566,552,499,473,443,416
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,THB,Baht,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:THB:A:A:A:A:A:I,4356,4363,4417,3739,3842,3567,3622,3759,4121,4261,3961,3851,3496,3450,3409,3474,3286,3204,3290,2999,3353,3153,3416
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TO1,Total all currencies,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:TO1:A:A:A:A:A:I,21503311,22422321,23093163,23479404,24152844,23722691,23835490,23788335,23957706,24265883,24117314,24813308,24535319,25444994,26178408,26947684,26963401,27614878,27675637,27826650,27770185,26886440,26033970
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TRY,New Turkish Lira,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:TRY:A:A:A:A:A:I,19550,23602,26672,28198,27686,25716,19503,25979,24455,25947,26666,25848,23292,21508,18641,19154,17230,22074,20591,13611,13073,12560,10858
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,TWD,New Taiwan Dollar,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:TWD:A:A:A:A:A:I,362,362,373,381,388,372,371,369,372,414,414,831,820,844,847,1408,1388,1417,1420,1425,1382,1330,1244
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,USD,US Dollar,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:USD:A:A:A:A:A:I,10054259,10212397,10448607,10599955,10752790,10930438,11014904,11059710,11189398,11286787,11446575,11593147,11659437,11935069,12131729,12143062,12462372,12715678,12932658,13114479,13128944,13108175,13046553
Q,Quarterly,3P,All countries excluding residents,3P,All countries excluding residents,1,All issuers,1,All issuers,C,International markets,A,All issue types,A,All currencies,VEF,Bolivar Fuerte,A,Total (all maturities),A,Total (all maturities),A,All interest rates,A,All credit ratings,A,All issues,I,Amounts outstanding,,,,,Q:3P:3P:1:1:C:A:A:VEF:A:A:A:A:A:I,54,,,,,,,,,,,,,,,,,,,,,,
