FREQ,Frequency,REF_AREA,Reference area,VALUE,Value,UNIT_MEASURE,Unit of measure,BREAKS,COVERAGE,TITLE_TS,Series,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022-Q1,2022-Q2,2022-Q3
Q,Quarterly,IS,Iceland,R,Real,771,"Year-on-year changes, in per cent",,,,Q:IS:R:771,15.7181,21.0545,18.4377,12.9374,10.4687,4.506,2.2539,3.505,1.2308,0.7417,0.2397,1.7484,3.3626,4.0938,4.3726,4.065,4.1377,7.8599,9.9292,10.5231,12.1514,13.8956,11.8158
Q,Quarterly,IT,Italy,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:IT:N:771,-0.7014,-0.8955,-1.4896,-1.2,-0.5045,-0.4016,-0.8065,-0.5061,-0.9128,-0.1008,0.4065,0.2035,1.74,3.33,1.0121,1.5228,1.7103,0.3906,4.1082,4,4.55,5.1556,2.9836
Q,Quarterly,IT,Italy,R,Real,771,"Year-on-year changes, in per cent",,,,Q:IT:R:771,-2.014,-2.364,-2.5917,-2.0804,-1.2227,-1.3115,-2.2538,-1.8983,-1.8467,-0.9411,0.0496,-0.0892,1.4433,3.4639,1.5041,1.754,1.1204,-0.7984,1.8917,0.4397,-1.06,-1.6448,-4.987
Q,Quarterly,JP,Japan,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:JP:N:771,3.9063,2.0111,2.4496,1.8102,1.5338,1.9108,1.7857,2.5138,2.3104,1.9345,1.2489,0.9569,-0.4343,-0.7007,-0.1175,1.5699,3.344,5.469,8.1447,6.8241,9.0602,9.1999,8.1838
Q,Quarterly,JP,Japan,R,Real,771,"Year-on-year changes, in per cent",,,,Q:JP:R:771,3.5533,1.597,1.8258,1.2281,0.24,1.2259,0.662,1.625,2.0026,1.1865,0.9113,0.4545,-1.0956,-0.833,-0.1508,2.5223,3.8961,6.2476,8.3252,6.2902,8.1216,6.6587,5.1641
Q,Quarterly,KR,Korea,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:KR:N:771,1.2351,1.2335,1.4932,1.2222,1.6122,1.9582,2.1203,3.2342,2.6587,1.8779,1.1017,0.0835,1.086,2.4298,4.5264,7.1369,10.2893,13.0061,15.1163,15.6993,12.589,9.3739,5.2595
Q,Quarterly,KR,Korea,R,Real,771,"Year-on-year changes, in per cent",,,,Q:KR:R:771,-0.9442,-0.6753,-0.7092,-0.2158,0.5301,0.4589,0.5646,1.4221,2.1048,1.2178,1.0566,-0.2114,0.1183,2.4209,3.7773,6.6525,8.7425,10.2629,12.2699,11.7368,8.4602,3.7633,-0.5827
Q,Quarterly,LT,Lithuania,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:LT:N:771,10.2401,10.2108,8.5411,6.8921,7.8128,7.4048,6.5918,7.397,7.8644,6.5935,6.4415,6.5133,6.2384,6.9712,6.4143,9.4042,11.97,13.2763,18.8782,19.8223,19.1489,22.0558,19.2666
Q,Quarterly,LT,Lithuania,R,Real,771,"Year-on-year changes, in per cent",,,,Q:LT:R:771,7.2359,6.4842,4.0045,2.5631,4.2816,4.6599,4.1476,4.8273,5.5977,3.8339,3.8457,4.3888,3.6462,6.1475,5.3428,8.8306,11.0447,9.7261,12.7721,9.6738,4.4126,2.6413,-2.8045
Q,Quarterly,LU,Luxembourg,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:LU:N:771,6.9759,6.4129,4.9293,4.2039,6.3752,5.0802,7.569,9.163,7.0205,11.3656,11.2582,10.7345,14.16,13.2521,13.8393,16.691,17.1689,13.4499,13.2026,12.1174,10.2273,11.6775,11.1432
Q,Quarterly,LU,Luxembourg,R,Real,771,"Year-on-year changes, in per cent",,,,Q:LU:R:771,5.1492,4.6239,2.9926,2.5666,5.2327,3.7491,5.7754,6.9774,4.8802,9.1699,9.5268,9.261,12.488,12.6683,13.0046,16.0594,15.7178,10.929,10.4646,7.7065,4.5543,4.3134,4.0663
Q,Quarterly,LV,Latvia,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:LV:N:771,9.285,9.1336,8.7909,7.9264,11.4158,8.6851,7.2013,11.0634,6.3695,7.9169,12.6526,8.8491,8.7514,1.5016,1.7284,2.2323,2.8771,12.1005,12.3955,16.1325,17.3962,16.325,13.6532
Q,Quarterly,LV,Latvia,R,Real,771,"Year-on-year changes, in per cent",,,,Q:LV:R:771,5.9145,5.8665,5.7441,5.2349,9.2223,6.1802,4.2086,7.9327,3.3891,4.497,9.4822,6.488,6.6737,1.9289,1.7455,2.855,2.998,9.5549,8.2888,8.394,7.4779,-0.0697,-6.6458
Q,Quarterly,MA,Morocco,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:MA:N:771,7.4836,6.5299,5.581,1.5085,-0.174,0.1751,-0.6066,1.0489,0.2616,-0.1748,0.5231,-0.519,-0.9565,-3.5026,-0.8674,1.1304,-0.2634,-2.1779,-6.2117,-7.5667,-5.4578,-0.1855,0.8396
Q,Quarterly,MA,Morocco,R,Real,771,"Year-on-year changes, in per cent",,,,Q:MA:R:771,6.1084,6.2433,5.3688,0.2304,-2.2476,-2.6403,-2.5644,-0.0441,0.4603,-0.3376,0.1614,-1.1668,-2.312,-3.5026,-1.5757,0.7368,-0.3932,-3.6862,-7.4738,-9.8475,-9.0963,-6.0978,-6.6389
Q,Quarterly,MK,North Macedonia,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:MK:N:771,-3.7466,-2.2055,-0.8666,-0.203,4.1002,2.4504,2.8599,1.9272,1.8065,5.4821,2.046,3.4139,2.1046,1.4247,2.848,1.7979,3.1222,4.0756,5.8183,11.2652,12.3849,16.5003,21.2376
Q,Quarterly,MK,North Macedonia,R,Real,771,"Year-on-year changes, in per cent",,,,Q:MK:R:771,-4.1559,-3.3798,-2.3528,-2.346,2.3589,0.995,1.3106,0.785,0.6046,4.187,1.417,3.3225,1.4756,0.9819,1.3019,-0.3743,1.1636,1.2468,2.1561,6.4169,4.3381,3.7517,3.4765
Q,Quarterly,MT,Malta,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:MT:N:771,5.2632,5.9345,5.0761,4.914,5.3448,6.1037,5.475,6.1671,6.5466,6.2254,6.0305,5.7353,5.53,3.9318,2.6638,1.5994,4.5852,5.4247,5.9607,4.5175,6.7502,7.6506,
Q,Quarterly,MT,Malta,R,Real,771,"Year-on-year changes, in per cent",,,,Q:MT:R:771,3.579,4.5209,3.8233,3.5909,4.4163,5.1392,4.1704,4.5338,4.6941,4.2542,4.3475,4.3746,4.3219,3.172,2.2522,1.3321,4.2707,4.17,3.839,2.0388,2.4697,1.5892,
Q,Quarterly,MX,Mexico,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:MX:N:771,7.3644,7.4817,7.8989,8.5656,8.4283,8.6693,9.048,9.316,9.0328,9.177,8.4429,7.6581,7.0372,5.7672,5.0369,5.3772,6.5673,5.2785,8.6641,8.5492,7.7422,7.7422,9.4236
Q,Quarterly,MX,Mexico,R,Real,771,"Year-on-year changes, in per cent",,,,Q:MX:R:771,2.2723,1.3042,1.3297,1.8497,2.9651,3.9221,3.9422,4.2926,4.7356,4.7624,4.966,4.5829,3.5232,2.9137,1.0988,1.7933,2.4808,-0.6358,2.7076,1.4569,0.4413,-0.0297,0.8364
Q,Quarterly,MY,Malaysia,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:MY:N:771,6.6938,6.8234,6.4986,6.1281,4.3099,3.65,2.7354,2.5197,2.5105,2.3304,2.1505,1.7921,1.8878,1.417,0.2005,1.2072,0.7011,1.0479,1.0505,1.8887,2.3869,2.6173,0.7426
Q,Quarterly,MY,Malaysia,R,Real,771,"Year-on-year changes, in per cent",,,,Q:MY:R:771,2.4213,2.8725,2.7566,2.4898,2.4733,2.3028,2.2507,2.2088,2.8216,1.6836,0.8076,0.792,0.9683,4.0768,1.5918,2.7781,0.2078,-3.0006,-1.065,-1.232,0.1522,-0.2189,-3.6079
Q,Quarterly,NL,Netherlands,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:NL:N:771,6.6725,7.5401,7.4039,8.4914,9.328,9.2199,10.1473,9.1213,8.1401,8.3265,6.2505,6.5127,6.3088,7.0719,8.3558,8.7476,11.2667,13.0111,16.7577,18.7195,19.3063,18.1664,12.155
Q,Quarterly,NL,Netherlands,R,Real,771,"Year-on-year changes, in per cent",,,,Q:NL:R:771,5.0665,6.2144,5.9317,7.0349,8.0015,7.5866,7.9558,6.9484,5.4606,5.5217,3.4897,3.746,4.6216,5.6854,7.1111,7.6599,9.3498,10.7887,14.2834,13.3216,11.0396,8.4532,-0.0962
Q,Quarterly,NO,Norway,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:NO:N:771,10.1167,6.9094,2.4748,0.7333,-1.0601,1.6594,2.9517,2.2748,3.0357,1.9759,2.3458,2.5801,1.9064,2.6959,4.9236,7.5455,11.1395,12.3872,10.4369,7.9839,7.192,6.3504,4.8352
Q,Quarterly,NO,Norway,R,Real,771,"Year-on-year changes, in per cent",,,,Q:NO:R:771,7.3463,4.7131,0.9569,-0.5963,-3.0061,-0.7252,-0.3156,-1.0525,0.0374,-0.4513,0.6866,0.9533,0.746,1.5334,3.3108,6.1794,7.9372,9.2943,6.7147,3.1975,3.2554,0.4986,-1.7854
Q,Quarterly,NZ,New Zealand,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:NZ:N:771,12.1019,6.6798,3.6505,4.0566,3.5831,3.6139,3.8624,3.317,2.5893,2.0023,3.095,4.7761,7.5561,6.807,9.9876,16.0658,22.7404,28.5164,28.6702,25.9273,13.5922,5.109,-3.5931
Q,Quarterly,NZ,New Zealand,R,Real,771,"Year-on-year changes, in per cent",,,,Q:NZ:R:771,9.7245,4.8524,1.7154,2.4235,2.4561,2.0826,1.9246,1.4018,1.0895,0.322,1.6066,2.8692,4.8979,5.2768,8.4223,14.4218,20.9016,24.3592,22.6206,18.8565,6.2316,-2.0431,-10.0961
Q,Quarterly,PE,Peru,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:PE:N:771,5.1332,1.5838,2.4773,0.2096,-0.7507,-0.2168,0.417,1.5335,2.5701,4.7362,1.9738,-0.6231,-0.308,-0.17,0.5051,3.8465,2.1329,1.4367,-0.6733,-2.9875,-2.1077,-1.6691,0.1118
Q,Quarterly,PE,Peru,R,Real,771,"Year-on-year changes, in per cent",,,,Q:PE:R:771,1.6353,-1.5232,-0.4982,-1.4161,-1.6644,-1.1533,-0.8928,-0.5225,0.4341,2.1439,-0.0264,-2.4593,-2.1391,-1.8398,-1.2618,1.8636,-0.4149,-1.2252,-5.1009,-8.4536,-7.8402,-9.1972,-7.7783
Q,Quarterly,PH,Philippines,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:PH:N:771,6.6728,0.175,1.7825,5.536,1.7995,4.5415,4.4658,0.4996,3.1987,0.8354,10.394,10.4391,12.5612,26.5949,-0.3797,0.8252,-4.2029,-9.3586,6.3262,4.9107,5.7489,2.5993,6.5233
Q,Quarterly,PH,Philippines,R,Real,771,"Year-on-year changes, in per cent",,,,Q:PH:R:771,3.6929,-2.5773,-0.8593,2.4611,-1.9118,-0.1369,-1.8352,-5.2207,-0.6273,-2.1603,8.922,8.9424,9.7877,24.2821,-2.6279,-1.9896,-7.9157,-12.8502,2.1381,1.2887,2.3183,-2.7076,-0.0104
Q,Quarterly,PL,Poland,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:PL:N:771,3.33,4.5616,3.6698,3.8513,5.9518,6.1741,6.5071,7.6487,8.0928,8.1733,8.9571,9.4308,11.2557,10.9084,10.899,8.9406,7.2156,8.3314,8.9158,12.0864,13.5591,12.3712,12.1248
Q,Quarterly,PL,Poland,R,Real,771,"Year-on-year changes, in per cent",,,,Q:PL:R:771,1.2537,2.6897,1.7893,1.5288,4.2636,4.1873,4.25,6.0539,6.8011,5.7107,6.2195,6.6358,6.4308,7.4983,7.6531,5.9979,4.2458,3.7347,3.3337,3.8745,3.5145,-1.4084,-3.6476
Q,Quarterly,PT,Portugal,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:PT:N:771,7.929,8.0441,10.4238,10.4864,12.2352,11.2371,8.4615,9.3177,9.2052,9.4638,10.754,10.3748,10.595,9.7334,6.9186,7.9551,6.6131,7.8139,11.5161,11.586,12.9499,13.167,13.1466
Q,Quarterly,PT,Portugal,R,Real,771,"Year-on-year changes, in per cent",,,,Q:PT:R:771,6.4207,6.5049,9.1762,8.8868,11.3825,10.1529,6.9674,8.4209,8.3881,8.891,10.9435,10.0994,10.1467,10.0334,6.9224,8.1433,6.1752,6.9931,9.8751,8.986,8.3017,4.8057,3.713
Q,Quarterly,RO,Romania,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:RO:N:771,4.8077,6.5421,5.6604,5.5555,6.422,5.2631,6.2501,5.2631,3.4483,1.6667,4.2017,4.1667,8.3333,6.5573,1.6129,2.4,0.7692,3.0769,6.3492,7.8125,6.8702,8.2089,6.7164
Q,Quarterly,RO,Romania,R,Real,771,"Year-on-year changes, in per cent",,,,Q:RO:R:771,4.6605,5.7933,4.1256,2.4017,1.694,-0.0782,1.3297,1.5758,-0.2904,-2.2484,0.349,0.4243,4.9437,3.9339,-1.0003,0.2467,-2.2295,-0.5478,0.8103,-0.1518,-1.9655,-5.4438,-7.5172
Q,Quarterly,RS,Serbia,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:RS:N:771,15.4063,6.6916,-1.7191,-1.3665,7.1082,11.9005,12.3828,7.1589,-3.0698,-8.7552,-10.3966,-7.6354,0.1181,3.3223,1.184,2.5075,7.1131,8.5749,6.9103,6.9617,8.6006,14.8268,
Q,Quarterly,RS,Serbia,R,Real,771,"Year-on-year changes, in per cent",,,,Q:RS:R:771,11.9306,2.8987,-4.5783,-4.1241,5.4196,9.8784,9.7637,4.9831,-5.3779,-10.786,-11.5915,-8.9216,-1.6075,2.3419,-0.7239,0.9153,5.6763,5.1712,2.3903,-0.3081,-0.098,3.7884,
Q,Quarterly,RU,Russia,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:RU:N:771,-4.1605,-3.7138,-3.5515,-3.0251,0.257,1.5468,3.1728,4.9169,7.2274,6.9115,8.0942,6.5611,7.1234,8.0776,9.6048,13.9833,11.0675,14.3553,14.5636,14.9516,32.497,29.4496,26.8583
Q,Quarterly,RU,Russia,R,Real,771,"Year-on-year changes, in per cent",,,,Q:RU:R:771,-8.4084,-7.5903,-6.7002,-5.4552,-1.9373,-0.7976,0.1882,1.0009,1.9727,1.8337,3.6458,3.011,4.5877,4.8162,5.8539,9.1336,5.228,7.8632,7.2246,6.1326,18.7874,10.7048,10.9363
Q,Quarterly,SE,Sweden,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:SE:N:771,7.9108,8.4913,7.5353,2.7669,-0.6849,-1.6675,-2.0674,0.7236,1.5225,2.171,2.9387,3.2795,4.5513,3.2499,3.7182,5.2747,7.2392,10.9251,11.3378,10.9028,10.3136,7.0548,1.1507
Q,Quarterly,SE,Sweden,R,Real,771,"Year-on-year changes, in per cent",,,,Q:SE:R:771,6.3388,6.5963,5.2671,0.9845,-2.3413,-3.5001,-4.1039,-1.3395,-0.3444,0.1399,1.4,1.5321,3.5248,3.1348,3.1268,4.9391,5.6106,8.9641,9.1746,7.3403,5.4113,-0.3557,-7.8129
Q,Quarterly,SG,Singapore,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:SG:N:771,-2.7738,-2.4286,-0.2175,1.0933,5.4134,9.0776,8.7936,7.8587,3.1228,1.208,2.0708,2.6738,2.3554,1.1937,0.6545,2.2135,6.6403,7.1429,7.4772,10.5732,7.7682,10.6422,13.6116
Q,Quarterly,SG,Singapore,R,Real,771,"Year-on-year changes, in per cent",,,,Q:SG:R:771,-3.3779,-3.1774,-0.6619,0.6305,5.1578,8.7219,8.0394,7.3366,2.6139,0.4226,1.7125,2.0297,1.9792,1.915,0.9301,2.3306,5.8378,4.7418,4.8702,6.6443,3.0536,4.4753,5.8503
Q,Quarterly,SI,Slovenia,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:SI:N:771,6.6772,8.2555,8.1782,9.873,9.6211,7.7248,9.3608,8.27,7.5737,7.421,7.0595,4.8348,4.7331,5.224,3.2895,5.174,7.2636,10.0694,12.9008,15.7697,16.9156,15.649,15.3575
Q,Quarterly,SI,Slovenia,R,Real,771,"Year-on-year changes, in per cent",,,,Q:SI:R:771,4.8007,6.7308,6.898,8.4713,8.199,5.7504,7.332,6.2609,6.1824,5.6778,4.97,3.234,3.1816,6.2016,3.3581,5.9173,7.8408,8.0479,10.5047,11.1447,10.2923,6.5834,4.238
Q,Quarterly,SK,Slovak Republic,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:SK:N:771,3.7523,6.6606,7.271,5.8201,11.6636,6.929,4.3515,6.8334,5.749,8.32,11.4676,10.8424,13.17,9.675,8.4892,7.2484,1.9621,4.7811,8.0239,10.6955,14.1341,16.6452,14.5488
Q,Quarterly,SK,Slovak Republic,R,Real,771,"Year-on-year changes, in per cent",,,,Q:SK:R:771,2.7628,5.6498,5.6583,3.8987,9.1699,4.04,1.5887,4.569,3.2791,5.6354,8.3524,7.7199,10.1304,7.598,6.8735,5.6207,0.9638,2.5008,3.9678,4.9259,4.4615,3.6588,0.5317
Q,Quarterly,TH,Thailand,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:TH:N:771,-1.1728,-0.3094,3.4019,5.1887,6.962,5.5857,5.3558,3.2885,2.145,0.8082,-0.4357,1.4472,3.8378,5.1749,5.3975,3.923,0.3487,0.4851,2.0069,2.4022,4.1696,5.2414,3.5957
Q,Quarterly,TH,Thailand,R,Real,771,"Year-on-year changes, in per cent",,,,Q:TH:R:771,-2.396,-0.4043,2.9421,4.28,6.2934,4.2139,3.8261,2.4244,1.3912,-0.2699,-1.035,1.0482,3.4077,8.0605,6.1671,4.3333,0.8845,-1.8297,1.2944,-0.0168,-0.5463,-1.1486,-3.4441
Q,Quarterly,TR,Turkey,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:TR:N:771,11.8857,10.8287,9.2672,9.0717,7.9673,8.7737,6.3116,4.4487,3.1221,1.7415,6.8646,10,15.0459,25.6757,27.3438,30.3872,31.9777,29.2473,35.5828,59.7159,110.0906,160.6766,189.09
Q,Quarterly,TR,Turkey,R,Real,771,"Year-on-year changes, in per cent",,,,Q:TR:R:771,1.5179,-0.5985,-1.1648,-2.8456,-2.0966,-3.5647,-10.9906,-14.6439,-14.0012,-13.7421,-5.8679,-0.2777,2.6043,12.5601,13.943,14.8687,14.174,10.3852,13.6827,26.9114,35.7183,49.754,59.6276
Q,Quarterly,US,United States,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:US:N:771,5.5666,5.8066,5.9963,6.0086,6.2048,6.0032,5.3962,4.6776,3.8914,3.6671,3.8539,4.5026,4.9824,4.9869,7.0948,9.3687,11.5625,15.7634,17.3351,17.8327,19.4719,16.8885,11.7762
Q,Quarterly,US,United States,R,Real,771,"Year-on-year changes, in per cent",,,,Q:US:R:771,2.9523,3.8318,3.9517,3.8104,3.9042,3.2044,2.6844,2.4211,2.2101,1.8227,2.0602,2.4205,2.8043,4.6058,5.8015,8.0297,9.484,10.4097,11.3916,10.4449,10.6563,7.5968,3.1817
Q,Quarterly,XM,Euro area,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:XM:N:771,4.4055,4.3053,4.3311,4.6435,4.9,4.9089,4.9396,4.7875,4.1361,4.322,4.0501,4.2869,5.0927,5.0946,5.2301,5.9602,6.2496,7.3763,9.2398,9.544,9.7602,9.1848,6.8024
Q,Quarterly,XM,Euro area,R,Real,771,"Year-on-year changes, in per cent",,,,Q:XM:R:771,2.6241,2.738,2.8095,3.1845,3.5847,3.1401,2.7621,2.8246,2.671,2.8782,3.0665,3.2505,3.9416,4.8621,5.2635,6.2528,5.1348,5.4404,6.2364,4.6994,3.4039,1.0537,-2.2965
Q,Quarterly,XW,World,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:XW:N:771,5.7053,5.572,5.26,4.8611,4.731,4.4298,4.7319,4.8223,4.488,4.2885,4.0311,4.0727,4.4443,4.2866,4.6897,5.7052,6.5623,8.1775,9.1074,9.5147,10.9091,10.3554,8.6794
Q,Quarterly,XW,World,R,Real,771,"Year-on-year changes, in per cent",,,,Q:XW:R:771,3.1247,3.2739,2.9568,2.3628,2.2503,1.8125,1.7889,2.0807,2.1701,1.645,1.5941,1.222,1.2324,2.4069,2.678,4.1451,4.5763,4.6875,5.2894,4.3676,4.2843,1.9689,-0.0013
Q,Quarterly,ZA,South Africa,N,Nominal,771,"Year-on-year changes, in per cent",,,,Q:ZA:N:771,4.5293,4.2593,4.1578,3.9082,3.4986,3.6422,4.0088,4.04,3.6324,3.4793,3.6879,3.3049,1.9209,1.4609,2.7601,3.8266,4.6519,4.7921,3.7524,3.4749,4.0023,3.7908,3.2909
Q,Quarterly,ZA,South Africa,R,Real,771,"Year-on-year changes, in per cent",,,,Q:ZA:R:771,-1.6922,-0.9957,-0.6353,-0.7512,-0.5165,-0.7979,-0.9459,-0.8394,-0.5379,-0.9184,-0.4111,-0.4236,-2.4451,-0.9191,-0.3052,0.6348,1.5448,-0.0417,-1.0611,-1.8653,-1.6649,-2.6438,-4.0523
